 nnnn ,   dte   ,dd/mm/yyyy,hh:mm:ss,   #1   ,   #2   ,   #3   ,   #4   ,   #5   ,   #6   ,   #7   ,   #8   ,   #9   ,   #10  
   104,666527537,12/02/2021,10:32:17,  395.77,  389.40,  391.66,   18.71,   17.54,   17.23,    0.43,12107.90,    0.00,12113.10
   105,666527538,12/02/2021,10:32:18,  393.35,  386.07,  387.99,   16.83,   16.94,   16.14,    0.72, 4833.13,10115.78,11214.91
   106,666527539,12/02/2021,10:32:19,  393.87,  386.49,  388.49,   16.81,   16.80,   15.94,    0.87, 8055.93, 7692.94,11158.31
   107,666527540,12/02/2021,10:32:20,  400.30,  393.08,  393.69,    1.84,    1.72,    1.51,    0.36, 1009.56,  202.39, 1159.35
   108,666527541,12/02/2021,10:32:21,  400.80,  393.21,  394.76,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   109,666527542,12/02/2021,10:32:22,  401.09,  393.51,  394.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   110,666527543,12/02/2021,10:32:23,  401.35,  394.12,  395.01,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   111,666527544,12/02/2021,10:32:24,  399.97,  392.28,  394.10,    4.16,    9.52,   10.71,    1.00, 5534.88,    0.00, 5541.81
   112,666527545,12/02/2021,10:32:25,  401.58,  394.63,  395.76,   13.29,   12.75,   13.17,    0.01, 8993.65,    0.00, 8991.15
   113,666527546,12/02/2021,10:32:26,  401.74,  394.82,  395.22,   12.94,   12.10,   11.88,    0.56,  128.27,-8475.84, 8479.63
   114,666527547,12/02/2021,10:32:27,  401.14,  392.73,  394.07,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   115,666527548,12/02/2021,10:32:28,  400.72,  392.86,  393.73,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   116,666527549,12/02/2021,10:32:29,  400.92,  393.68,  394.30,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   117,666527550,12/02/2021,10:32:30,  400.25,  392.63,  393.61,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   118,666527551,12/02/2021,10:32:31,  400.90,  393.68,  394.26,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   119,666527552,12/02/2021,10:32:32,  389.95,  383.11,  384.51,   35.03,   33.49,   30.84,    0.61,22166.45,    0.00,22166.06
   120,666527553,12/02/2021,10:32:33,  393.61,  386.49,  387.67,   16.72,   16.79,   16.03,    0.81, 6825.09, 8803.62,11132.69
   121,666527554,12/02/2021,10:32:34,  394.19,  388.73,  390.86,   18.10,   17.83,   17.22,    0.67, 9695.34, 7073.23,11992.12
   122,666527555,12/02/2021,10:32:35,  399.99,  392.72,  393.64,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   123,666527556,12/02/2021,10:32:36,  400.85,  393.24,  393.85,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   124,666527558,12/02/2021,10:32:38,  400.00,  392.35,  393.07,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   125,666527559,12/02/2021,10:32:39,  401.01,  393.53,  394.46,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   126,666527560,12/02/2021,10:32:40,  396.48,  389.48,  391.23,   18.89,   20.09,   24.20,    0.19,14302.42,    0.00,14299.75
   127,666527561,12/02/2021,10:32:41,  401.70,  394.86,  395.65,   13.22,   12.65,   13.05,    0.27, 1680.32, 8764.07, 8922.53
   128,666527562,12/02/2021,10:32:42,  401.24,  394.34,  394.79,    0.87,    0.76,    0.73,    0.44,  143.74, -209.22,  541.15
   129,666527563,12/02/2021,10:32:43,  401.68,  394.22,  395.44,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   130,666527564,12/02/2021,10:32:44,  401.02,  393.62,  394.28,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   131,666527565,12/02/2021,10:32:45,  401.06,  393.26,  393.90,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   132,666527566,12/02/2021,10:32:46,  400.30,  392.78,  393.98,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   133,666527567,12/02/2021,10:32:47,  394.24,  388.65,  390.29,   22.77,   21.51,   20.31,    0.51,14592.12,    0.00,14575.19
   134,666527568,12/02/2021,10:32:48,  394.33,  386.99,  388.43,   17.22,   17.05,   16.44,    0.66, 5864.05, 9791.09,11411.50
   135,666527569,12/02/2021,10:32:49,  394.41,  386.63,  388.42,   16.83,   16.77,   16.16,    0.87, 7437.72, 8359.67,11196.00
   136,666527570,12/02/2021,10:32:50,  401.92,  393.63,  395.15,    4.51,    4.01,    3.62,    0.42, 2423.59,  281.53, 2784.56
   137,666527571,12/02/2021,10:32:51,  402.04,  394.46,  394.95,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   138,666527572,12/02/2021,10:32:52,  401.24,  393.58,  394.21,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   139,666527573,12/02/2021,10:32:53,  402.08,  394.22,  395.10,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   140,666527574,12/02/2021,10:32:54,  400.94,  393.12,  393.57,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   141,666527575,12/02/2021,10:32:55,  400.61,  393.75,  394.94,   15.37,   14.39,   14.61,    0.08,10152.63,    0.00,10152.06
   142,666527576,12/02/2021,10:32:56,  401.06,  393.74,  394.59,   13.21,   12.45,   12.90,    0.57,  676.40, 8811.79, 8822.32
   143,666527577,12/02/2021,10:32:57,  401.20,  393.90,  394.44,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   144,666527578,12/02/2021,10:32:58,  401.29,  394.18,  394.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   145,666527579,12/02/2021,10:32:59,  401.28,  393.74,  394.62,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   146,666527580,12/02/2021,10:33:00,  401.98,  394.18,  394.54,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   147,666527581,12/02/2021,10:33:01,  400.94,  393.63,  394.36,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   148,666527582,12/02/2021,10:33:02,  381.07,  374.48,  375.64,   54.00,   51.93,   51.22,    0.66,34233.66,    0.00,34241.47
   149,666527583,12/02/2021,10:33:03,  393.37,  386.30,  387.40,   17.21,   17.16,   16.20,    0.71, 7499.58, 8511.23,11352.95
   150,666527584,12/02/2021,10:33:04,  393.56,  386.70,  388.99,   22.59,   21.91,   19.76,    0.73,10212.09,10255.46,14477.31
   151,666527585,12/02/2021,10:33:05,  401.25,  393.25,  394.13,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   152,666527586,12/02/2021,10:33:06,  401.01,  392.66,  393.85,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   153,666527587,12/02/2021,10:33:07,  401.30,  393.64,  394.38,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   154,666527588,12/02/2021,10:33:08,  401.30,  393.12,  394.13,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   155,666527589,12/02/2021,10:33:09,  396.00,  389.79,  390.89,   19.20,   19.17,   18.74,    0.19,12922.12,    0.00,12921.56
   156,666527590,12/02/2021,10:33:10,  400.57,  393.53,  394.88,   13.24,   12.60,   13.32,    0.14, 1660.10, 8804.57, 8970.37
   157,666527591,12/02/2021,10:33:11,  400.82,  392.96,  393.67,    2.16,    1.90,    1.83,    0.47,  187.90,-1334.41, 1346.94
   158,666527592,12/02/2021,10:33:12,  400.45,  392.51,  393.05,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   159,666527593,12/02/2021,10:33:13,  400.24,  392.10,  393.61,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   160,666527595,12/02/2021,10:33:15,  400.75,  393.31,  394.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   161,666527596,12/02/2021,10:33:16,  400.81,  392.96,  393.78,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   162,666527597,12/02/2021,10:33:17,  400.45,  392.13,  393.46,    0.00,    3.01,   10.55,    1.00, 3039.18,    0.00, 3041.48
   163,666527598,12/02/2021,10:33:18,  394.15,  386.39,  388.32,   17.85,   17.47,   16.54,    0.61,11676.83,    0.00,11670.27
   164,666527599,12/02/2021,10:33:19,  394.28,  386.59,  388.55,   17.17,   17.07,   16.25,    0.87, 6924.47, 9009.73,11369.41
   165,666527600,12/02/2021,10:33:20,  399.80,  391.45,  393.50,   11.21,   10.26,    9.16,    0.50, 6074.62, 3456.81, 6996.46
   166,666527601,12/02/2021,10:33:21,  400.56,  392.22,  393.86,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   167,666527602,12/02/2021,10:33:22,  400.75,  393.23,  394.29,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   168,666527603,12/02/2021,10:33:23,  401.47,  393.27,  394.74,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   169,666527604,12/02/2021,10:33:24,  401.29,  393.89,  394.40,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   170,666527605,12/02/2021,10:33:25,  399.57,  393.20,  394.11,   24.74,   22.51,   21.45,    0.15,15714.88,    0.00,15694.07
   171,666527606,12/02/2021,10:33:26,  401.80,  394.77,  396.19,   13.30,   12.58,   13.29,    0.55, 1343.68, 8888.29, 8985.41
   172,666527607,12/02/2021,10:33:27,  401.42,  393.92,  394.84,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   173,666527608,12/02/2021,10:33:28,  399.61,  391.78,  392.80,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   174,666527609,12/02/2021,10:33:29,  401.41,  393.34,  394.13,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   175,666527610,12/02/2021,10:33:30,  401.52,  393.20,  393.95,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   176,666527611,12/02/2021,10:33:31,  400.98,  393.69,  394.38,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   177,666527612,12/02/2021,10:33:32,  394.66,  388.13,  390.04,   17.27,   16.17,   15.96,    0.41,11161.64,    0.00,11157.25
   178,666527613,12/02/2021,10:33:33,  393.73,  386.90,  388.35,   16.85,   16.80,   15.99,    0.76, 4622.64,10163.75,11164.02
   179,666527614,12/02/2021,10:33:34,  393.67,  386.81,  388.23,   21.55,   23.29,   23.36,    0.84,11682.57, 9919.06,15355.16
   180,666527615,12/02/2021,10:33:35,  401.43,  393.39,  394.08,    0.71,    0.66,    0.58,    0.27,  376.52,  240.36,  447.30
   181,666527616,12/02/2021,10:33:36,  401.00,  393.27,  393.86,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   182,666527617,12/02/2021,10:33:37,  401.57,  393.14,  394.31,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   183,666527618,12/02/2021,10:33:38,  401.19,  393.25,  394.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   184,666527619,12/02/2021,10:33:39,  396.15,  389.45,  391.27,   20.02,   19.47,   18.51,    0.37,13143.22,    0.00,13141.37
   185,666527620,12/02/2021,10:33:40,  401.39,  393.75,  394.65,   13.71,   12.88,   13.33,    0.09, 3381.66, 8494.97, 9143.85
   186,666527621,12/02/2021,10:33:41,  401.11,  393.11,  394.23,    5.84,    5.14,    4.90,    0.50,  333.49,-3616.71, 3638.68
   187,666527622,12/02/2021,10:33:42,  400.65,  392.98,  393.42,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   188,666527623,12/02/2021,10:33:43,  400.79,  392.98,  394.01,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   189,666527624,12/02/2021,10:33:44,  401.36,  393.35,  394.19,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   190,666527625,12/02/2021,10:33:45,  401.25,  393.19,  393.90,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   191,666527626,12/02/2021,10:33:46,  400.83,  392.77,  393.67,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   192,666527627,12/02/2021,10:33:47,  393.37,  385.60,  387.20,   24.12,    0.00,   21.44,    0.58,10196.58,    0.00,10198.13
